Customer,Model,Serial Number,Reference Number,WO CODE,PROGRAM,WO TYPE,WO INITIAL STATUS,GROUP,SITE,PURCHASE DATE,ReportedIssue,Customer_Info_1,Customer_Info_2,Customer_Info_3
EE / BT,IPHONE X 64G SPACE GRAY,354878095199908,6354817005,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354867094879834,6354817018,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G RED,358633091356838,6354817028,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Lens - Scratched|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354871094942766,6354817034,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Other picture problem/One or more vertical / horizontal lines missing|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354868096066784,6354817065,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,356138099844647,6354817080,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass|Display/Main display/Display - LCD Fractures (under the Glass),AS19052020-172,,
EE / BT,IPHONE 8 64G RED,356088094510885,6354817126,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Main display/Display - LCD Fractures (under the Glass)|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,353041095468200,6354817165,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Display/Other picture problem/One or more vertical / horizontal lines missing|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 256G space gray,358629090973086,6354817172,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,353224103216411,6354817196,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G GOLD,356768080597877,6354817201,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Camera/General/Camera - Lens - Scratched|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356085099586019,6354817202,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
