Brand,Models,Prestation,Solution,Price_Race_Card
APPLE,IP SE,GOLD,LCD OK,
APPLE,IP SE,GOLD,LCD KO,152.48 
APPLE,IP SE,GOLD,Glass Only,  
APPLE,IP SE,SILVER RR,LCD OK,62.38  
APPLE,IP SE,SILVER RR,LCD KO,116.06  
APPLE,IP SE,SILVER RR,LCD only,36.11  
APPLE,IP SE,SILVER RR,Battery,15.35  
APPLE,IP SE,SILVER RR,MB Repair,36.11  
APPLE,IP SE,SILVER RR,Finger Print Repair,17.15 
APPLE,IP SE,SILVER RR,Mechanical Repair,24.00 
APPLE,IP SE,SILVER RO,LCD only,56.69 
APPLE,IP SE,SILVER RO,Battery,34.88  
APPLE,IP SE,SILVER RO,MB Repair,56.69  
APPLE,IP SE,SILVER RO,Finger Print Repair,36.77  
APPLE,IP SE,SILVER RO,Mechanical Repair,27.24 
APPLE,IP 6,GOLD,LCD OK,108.04 
APPLE,IP 6,GOLD,LCD KO,152.48  
APPLE,IP 6,GOLD,Glass Only,74.90  
APPLE,IP 6,SILVER RR,LCD OK,59.53  
APPLE,IP 6,SILVER RR,LCD KO,101.84  
APPLE,IP 6,SILVER RR,LCD only,25.28  
APPLE,IP 6,SILVER RR,Battery,13.54  
APPLE,IP 6,SILVER RR,MB Repair,34.31  
APPLE,IP 6,SILVER RR,Finger Print Repair,17.15  
APPLE,IP 6,SILVER RR,Mechanical Repair,24.00 
APPLE,IP 6,SILVER RO,LCD only,45.31 
APPLE,IP 6,SILVER RO,Battery,32.98 
APPLE,IP 6,SILVER RO,MB Repair,54.79 
APPLE,IP 6,SILVER RO,Finger Print Repair,36.77 
APPLE,IP 6,SILVER RO,Mechanical Repair,27.24
APPLE,IP 6+,GOLD,LCD OK,120.16
APPLE,IP 6+,GOLD,LCD KO,173.69 
APPLE,IP 6+,GOLD,Glass Only,75.90 
APPLE,IP 6+,SILVER RR,LCD OK,73.76 
APPLE,IP 6+,SILVER RR,LCD KO,127.44 
APPLE,IP 6+,SILVER RR,LCD only,36.11 
APPLE,IP 6+,SILVER RR,Battery,16.25 
APPLE,IP 6+,SILVER RR,MB Repair,36.11 
APPLE,IP 6+,SILVER RR,Finger Print Repair,17.15
APPLE,IP 6+,SILVER RR,Mechanical Repair,24.00 
APPLE,IP 6+,SILVER RO,LCD only,56.69
APPLE,IP 6+,SILVER RO,Battery,35.82 
APPLE,IP 6+,SILVER RO,MB Repair,56.69 
APPLE,IP 6+,SILVER RO,Finger Print Repair,36.77 
APPLE,IP 6+,SILVER RO,Mechanical Repair,27.24 
APPLE,IP 6S,GOLD,LCD OK,121.17
APPLE,IP 6S,GOLD,LCD KO,175.71 
